"code";"url";"product_name";"packaging";"brand"
"3017627454106";"https://world-fr.openfoodfacts.org/produit/3017627454106";"Calendrier de l'Avent Kinder";"Boîte,Carton,Plastique";"Ferrero, Kinder"
"8000500238899";"https://world-fr.openfoodfacts.org/produit/8000500238899";"Schoko-bons";"sachet,plastique";"Ferrero, Kinder"
"5413548019703";"https://world-fr.openfoodfacts.org/produit/5413548019703";"Kinder surprise";"Carton,Plastique,Aluminium";"Ferrero, Kinder"
"8000500269367";"https://world-fr.openfoodfacts.org/produit/8000500269367";"Kinder Délice";"Plastique,sachet";"Ferrero, Kinder"
"8000500275467";"https://world-fr.openfoodfacts.org/produit/8000500275467";"Kinder Schoko-Bons";"plastique,sachet";"Ferrero, Kinder"
"8000500279823";"https://world-fr.openfoodfacts.org/produit/8000500279823";"Calendrier de l'avent 3D";"carton,plastique";"Ferrero,Kinder"
"40084701";"https://world-fr.openfoodfacts.org/produit/40084701";"Kinder czekoladki";"plastique,carton,21 PAP,82 C/PAP,Karton";"Ferrero,Kinder"
"4008400290829";"https://world-fr.openfoodfacts.org/produit/4008400290829";"Kinder Pingui Chocolat";"Karton,Kunststoff,Frais,Carton,Plastique,stück";"Ferrero,Kinder"
"4008400204628";"https://world-fr.openfoodfacts.org/produit/4008400204628";"Mini Kinder Chocolat";"carton,plastique";"Ferrero,Kinder"
"4008400622224";"https://world-fr.openfoodfacts.org/produit/4008400622224";"Kinder Schoko-Bons";"stück,sachet,plastique, stück";"Ferrero,Kinder"
"80794592";"https://world-fr.openfoodfacts.org/produit/80794592";"Kinder Céréalé";"sachet,plastique";"Ferrero,Kinder"
"8000500119716";"https://world-fr.openfoodfacts.org/produit/8000500119716";"Kinder Pingui";"frais,étui,plastique";"Ferrero,Kinder"
"8000500279724";"https://world-fr.openfoodfacts.org/produit/8000500279724";"Kinder Chocolat";"boîte,carton,film,plastique";"Ferrero,Kinder"
"3017627132509";"https://world-fr.openfoodfacts.org/produit/3017627132509";"Kinder Chocolat (format 32 bâtonnets)";"Plastique,Carton";"Ferrero,Kinder"
"4008400503523";"https://world-fr.openfoodfacts.org/produit/4008400503523";"Kinder calendrier de l’avant";"carton,plastique";"Ferrero,Kinder"
"80052500";"https://world-fr.openfoodfacts.org/produit/80052500";"Kinder Colazione Piú";"sachet,plastique";"Ferrero,Kinder"
"80863069";"https://world-fr.openfoodfacts.org/produit/80863069";"Kinder Brioss";"Plastique";"Kinder"
"80050094";"https://world-fr.openfoodfacts.org/produit/80050094";"Medium bar";"plastique,en:otherPlastic-packet";"Kinder"
"80310891";"https://world-fr.openfoodfacts.org/produit/80310891";"Joy Single Egg with Surprise";"plastique";"Kinder"
"8000500251652";"https://world-fr.openfoodfacts.org/produit/8000500251652";"Kinder Bueno White";"plastique";"Kinder"
"8000500267035";"https://world-fr.openfoodfacts.org/produit/8000500267035";"Délice";"plastique,Plástico";"Kinder"
"5413548280189";"https://world-fr.openfoodfacts.org/produit/5413548280189";"Schoko-Bons";"Sachet,Plastique,PP,♷,Stück, Stück, Stück";"Kinder"
"80761761";"https://world-fr.openfoodfacts.org/produit/80761761";"Kinder Bueno white";"Plastique,PP";"Kinder"
"8000500267103";"https://world-fr.openfoodfacts.org/produit/8000500267103";"Kinder Delice Cacao X10";"sachet,plastique,Petit Format";"Kinder"
"8000500268568";"https://world-fr.openfoodfacts.org/produit/8000500268568";"Kinder bueno coconut";"plastique";"Kinder"
"5020411113439";"https://world-fr.openfoodfacts.org/produit/5020411113439";"Kinder Bueno";"Sachet,plastique";"Kinder"
"8000500289877";"https://world-fr.openfoodfacts.org/produit/8000500289877";"Kinder Schoko-Bons White";"sachet,plastique,Stück, Stück";"Kinder"
"3017620693786";"https://world-fr.openfoodfacts.org/produit/3017620693786";"Bueno";"carton,plastique";"Kinder"
"3017620690969";"https://world-fr.openfoodfacts.org/produit/3017620690969";"Kinder Bueno";"plastique";"Kinder"
"5413548003726";"https://world-fr.openfoodfacts.org/produit/5413548003726";"Kinder Bueno";"Carton,sachet,plastique";"Kinder"
"3017620690464";"https://world-fr.openfoodfacts.org/produit/3017620690464";"Kinder Bueno White";"sachet,plastique";"Kinder"
"3017626904206";"https://world-fr.openfoodfacts.org/produit/3017626904206";"Kinder Bueno";"Sachet,Plastique,Boîte,Carton";"Kinder"
"3017621695055";"https://world-fr.openfoodfacts.org/produit/3017621695055";"Kinder Bueno Mini";"boîte,plastique";"Kinder"
"3017620693809";"https://world-fr.openfoodfacts.org/produit/3017620693809";"Kinder Bueno";"sachet,plastique";"Kinder"
"3017620694066";"https://world-fr.openfoodfacts.org/produit/3017620694066";"Kinder Bueno";"Sachet,plastique,Petit Format";"Kinder"
"8000500166970";"https://world-fr.openfoodfacts.org/produit/8000500166970";"Kinder Bueno White";"Carton,plastique";"Kinder"
"8000500290415";"https://world-fr.openfoodfacts.org/produit/8000500290415";"Kinder Bueno";"sachet,plastique,Grand Format";"Kinder"
"8000500121436";"https://world-fr.openfoodfacts.org/produit/8000500121436";"Kinder Bueno White";"Sachet,Plastique";"Kinder"
"8000500180709";"https://world-fr.openfoodfacts.org/produit/8000500180709";"Kinder Bueno Mini";"Plastique,Sachet,Individuel,Petit Format";"Kinder"
"8000500222751";"https://world-fr.openfoodfacts.org/produit/8000500222751";"Kinder Surprise Infinimix";"Carton,Plastique,papier aluminium,Boîte";"Kinder"
"8000500199985";"https://world-fr.openfoodfacts.org/produit/8000500199985";"Kinder Country";"Plastique,Sachet,Carton";"Kinder"
"8000500127414";"https://world-fr.openfoodfacts.org/produit/8000500127414";"Kinder Bueno White - 390 g";"sachet,plastique,carton";"Kinder"
"8000500214138";"https://world-fr.openfoodfacts.org/produit/8000500214138";"Kinder Bueno Dark";"Plastique";"Kinder"
"3017620691027";"https://world-fr.openfoodfacts.org/produit/3017620691027";"Kinder Bueno";"plastique,carton,pièce";"Kinder"
"3017620713729";"https://world-fr.openfoodfacts.org/produit/3017620713729";"Chocolat";"Carton,Papier,Plastique";"Kinder"
"8000500178478";"https://world-fr.openfoodfacts.org/produit/8000500178478";"Pingui chocolat";"Carton,sachet,plastique,carton";"Kinder"
"8000500229620";"https://world-fr.openfoodfacts.org/produit/8000500229620";"Kinder Country mini";"sachet,plastique";"Kinder"
"4000108037560";"https://world-fr.openfoodfacts.org/produit/4000108037560";"Kinder Bueno";"plastique,sachet";"Kinder"
"3017620694462";"https://world-fr.openfoodfacts.org/produit/3017620694462";"Kinder Bueno";"carton,plastique,Sachet";"Kinder Bueno,Ferrero,Kinder"
"8000500220139";"https://world-fr.openfoodfacts.org/produit/8000500220139";"Kinder Pingui Caramel";"sachet,plastique,frais";"Kinder, Ferrero"
"80310266";"https://world-fr.openfoodfacts.org/produit/80310266";"Kinder country";"Plastique";"Kinder, Ferrero"
"8000500129890";"https://world-fr.openfoodfacts.org/produit/8000500129890";"Mini Eggs";"sachet,plastique";"Kinder, Ferrero"
"5413548015552";"https://world-fr.openfoodfacts.org/produit/5413548015552";"Schoko-Bons - Kinder - 500 g";"sachet,plastique, Familial";"Kinder, Ferrero"
"3017620715273";"https://world-fr.openfoodfacts.org/produit/3017620715273";"Kinder";"plastique,carton";"Kinder, Ferrero"
"8000500119730";"https://world-fr.openfoodfacts.org/produit/8000500119730";"Kinder Pingui Coco";"étui,plastique";"Kinder, Ferrero"
"5413548021119";"https://world-fr.openfoodfacts.org/produit/5413548021119";"Schoko-bons";"Sachet,plastique";"kinder, Ferrero"
"4008400311326";"https://world-fr.openfoodfacts.org/produit/4008400311326";"Maxi Mix";"Carton,plastique";"Kinder, Ferrero"
"5413548280585";"https://world-fr.openfoodfacts.org/produit/5413548280585";"Schoko-Bons";"Sachet,Plastique";"Kinder, Ferrero"
"8000500218488";"https://world-fr.openfoodfacts.org/produit/8000500218488";"Kinder Cards";"carton,sachet,sachet individuel,plastique";"Kinder,CARDS,Ferrero"
"3017627101604";"https://world-fr.openfoodfacts.org/produit/3017627101604";"16 batonnets Chocolat";"Carton,plastique";"Kinder,Ferrero"
"8000500237601";"https://world-fr.openfoodfacts.org/produit/8000500237601";"Calendrier de l'Avent";"carton,plastique";"Kinder,Ferrero"
"8000500242612";"https://world-fr.openfoodfacts.org/produit/8000500242612";"Schoko-Bons";"sachet,plastique";"Kinder,Ferrero"
"4008400260921";"https://world-fr.openfoodfacts.org/produit/4008400260921";"Kinder Country";"Carton,stück,plastique,Petit Format, Riegel, Packung(en)";"Kinder,Ferrero"
"80177616";"https://world-fr.openfoodfacts.org/produit/80177616";"Chocolate bars";"Plastique,Carton";"Kinder,Ferrero"
"8000500020012";"https://world-fr.openfoodfacts.org/produit/8000500020012";"Maxi Kinder Surprise";"Aluminium,Plastique";"Kinder,Ferrero"
"8000500290736";"https://world-fr.openfoodfacts.org/produit/8000500290736";"Pingui coco";"sachet,plastique,frais";"Kinder,Ferrero"
"8000500015803";"https://world-fr.openfoodfacts.org/produit/8000500015803";"Bueno";"sachet,plastique";"Kinder,Ferrero"
"5413548280677";"https://world-fr.openfoodfacts.org/produit/5413548280677";"Schoko-Bons";"Plastique";"Kinder,Ferrero"
"8000500182963";"https://world-fr.openfoodfacts.org/produit/8000500182963";"Chocolat Happy";"Sachet,plastique";"Kinder,Ferrero"
"5413548017914";"https://world-fr.openfoodfacts.org/produit/5413548017914";"Kinder Suprise";"Carton,Aluminium,Plastique";"Kinder,Ferrero"
"8000500033715";"https://world-fr.openfoodfacts.org/produit/8000500033715";"Colazione Più";"plastique,Sachet";"Kinder,Ferrero"
"8000500269206";"https://world-fr.openfoodfacts.org/produit/8000500269206";"Kinder Schoko-Bons";"Sachet,Plastique,Grand Format";"Kinder,Ferrero"
"8000500290903";"https://world-fr.openfoodfacts.org/produit/8000500290903";"Schokobons";"sachet,plastique";"Kinder,Ferrero"
"8000500211625";"https://world-fr.openfoodfacts.org/produit/8000500211625";"Kinder Country Mini";"Sachet,Plastique, Petit Format";"Kinder,Ferrero"
"8000500292488";"https://world-fr.openfoodfacts.org/produit/8000500292488";"Bueno pearls";"sachet,plastique";"Kinder,Ferrero"
"8000500016787";"https://world-fr.openfoodfacts.org/produit/8000500016787";"Bueno";"Plastique";"Kinder,Ferrero"
"8000500189122";"https://world-fr.openfoodfacts.org/produit/8000500189122";"Kinder Maxi Mini";"Etui,Plastique,Petit Format";"Kinder,Ferrero"
"8000500290507";"https://world-fr.openfoodfacts.org/produit/8000500290507";"Bueno White";"sachet,plastique";"Kinder,Ferrero"
"8000500287859";"https://world-fr.openfoodfacts.org/produit/8000500287859";"Schoko-Bons";"sachet,plastique";"Kinder,Ferrero"
"8000500243640";"https://world-fr.openfoodfacts.org/produit/8000500243640";"Eggs Lait & Cacao";"sachet,plastique";"Kinder,Ferrero"
"8000500119785";"https://world-fr.openfoodfacts.org/produit/8000500119785";"Kinder Pingui Chocolat";"étui,carton,plastique";"Kinder,Ferrero"
"4008400818528";"https://world-fr.openfoodfacts.org/produit/4008400818528";"Maxi King";"Plastique,Sachet";"Kinder,Ferrero"
"8000500209806";"https://world-fr.openfoodfacts.org/produit/8000500209806";"Chocolate with cereals";"sachet,plastique";"Kinder,Ferrero"
"5413548021010";"https://world-fr.openfoodfacts.org/produit/5413548021010";"Schoko-Bons";"Sachet,plastique";"Kinder,Ferrero"
"3017627454809";"https://world-fr.openfoodfacts.org/produit/3017627454809";"kinder";"Carton,Plastique";"Kinder,Ferrero"
"8000500160749";"https://world-fr.openfoodfacts.org/produit/8000500160749";"Kinder Joy";"Carton,Plastique";"Kinder,Ferrero"
"5413548280776";"https://world-fr.openfoodfacts.org/produit/5413548280776";"Schoko-Bons";"Sachet,Plastique";"Kinder,Ferrero"
"4008400293028";"https://world-fr.openfoodfacts.org/produit/4008400293028";"Pingui Framboise";"Plastique,Frais";"Kinder,Ferrero"
"8000500142127";"https://world-fr.openfoodfacts.org/produit/8000500142127";"Kinder délice cacao";"Plastique,Carton,Sachet";"Kinder,Ferrero"
"8000500077580";"https://world-fr.openfoodfacts.org/produit/8000500077580";"Kinder bueno";"plastique,étui";"Kinder,Ferrero"
"8000500121467";"https://world-fr.openfoodfacts.org/produit/08000500121467";"Kinder Bueno White";"étui,carton,plastique";"Kinder,Ferrero"
"8000500163269";"https://world-fr.openfoodfacts.org/produit/8000500163269";"Kinder country";"Plastique";"Kinder,Ferrero"
"8001120900326";"https://world-fr.openfoodfacts.org/produit/8001120900326";"Tranche de Lait";"plastique";"Kinder,Ferrero"
"8000500196809";"https://world-fr.openfoodfacts.org/produit/8000500196809";"Mini eggs lait & Noisette";"sachet,plastique";"Kinder,Ferrero"
"8000500292426";"https://world-fr.openfoodfacts.org/produit/8000500292426";"Bueno pearls";"sachet,plastique";"Kinder,Ferrero"
"8000500037430";"https://world-fr.openfoodfacts.org/produit/8000500037430";"Bueno";"sachet,plastique";"Kinder,Ferrero"
"8000500003640";"https://world-fr.openfoodfacts.org/produit/8000500003640";"Eggs lait & cacao";"sachet,plastique";"Kinder,Ferrero"
"5413548018201";"https://world-fr.openfoodfacts.org/produit/5413548018201";"Schoko-Bons";"Plastique";"Kinder,Ferrero"
"1611144";"https://world-fr.openfoodfacts.org/produit/01611144";"Schoko-bons";"Plastique,individuel";"Kinder,Ferrero"
"2000000028573";"https://world-fr.openfoodfacts.org/produit/2000000028573";"Happy Hippo Cacao";"Plastique";"Kinder,Ferrero"
"8000500184608";"https://world-fr.openfoodfacts.org/produit/8000500184608";"Calendrier de l'Avent";"Carton,Plastique";"Kinder,Ferrero"
"8000500256534";"https://world-fr.openfoodfacts.org/produit/8000500256534";"Kinder Cards Céréales";"carton,sachet,plastique";"Kinder,Ferrero,CARDS"
"8000500256658";"https://world-fr.openfoodfacts.org/produit/8000500256658";"Kinder Cards Noisette";"carton,sachet,plastique";"Kinder,Ferrero,CARDS"
"4008400562025";"https://world-fr.openfoodfacts.org/produit/4008400562025";"Kinder Calendrier Avent Happy";"carton,plastique";"Kinder,Ferrero,Ferrero France"
"3017620721755";"https://world-fr.openfoodfacts.org/produit/3017620721755";"Kinder Country - 14+2 barres";"Carton,sachet,plastique";"Kinder,Ferrero,Kinder Country"
"80176831";"https://world-fr.openfoodfacts.org/produit/80176831";"Kinder Country - 9 barres";"Boîte,Carton,Sachet,Plastique,Individuel,boîte";"Kinder,Ferrero,Kinder Country"
"8000500015711";"https://world-fr.openfoodfacts.org/produit/8000500015711";"Kinder Country - 6 barres";"Plastique,Sachet";"Kinder,Ferrero,Kinder Country"
"5413548016382";"https://world-fr.openfoodfacts.org/produit/5413548016382";"Schoko-bons";"Sachet,plastique,sachet";"Kinder,Ferrero,Schoko-bons"
"3017626998106";"https://world-fr.openfoodfacts.org/produit/3017626998106";"Kinder Bueno";"Plastique,Sachets fraicheurs";"Kinder,Kinder Bueno,Ferrero"
"8000500241707";"https://world-fr.openfoodfacts.org/produit/8000500241707";"Kinder Country";"carton,boîte,plastique,Karton, Packung(en)";"Kinder,Kinder Country,Ferrero"
